id,title,body,department,sentiment
1,Colazione fantastica,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
2,Camera pulitissima,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
3,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
4,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
5,Pulizia eccellente,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
6,Camera sporca,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
7,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
8,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
9,Ristorante deludente,"Poca scelta a colazione, molti prodotti confezionati. Check-in veloce ma la stanza aveva qualche problema.",F&B,neg
10,Staff gentilissimo,Personale della reception molto disponibile e sorridente.,Reception,pos
11,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
12,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
13,Pulizia eccellente,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
14,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
15,Deluso dalla pulizia,"Macchie sulle lenzuola e asciugamani non cambiati. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,neg
16,Deluso dalla pulizia,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato. Check-in veloce ma la stanza aveva qualche problema.",Housekeeping,neg
17,Deluso dalla pulizia,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
18,Camera sporca,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
19,Pulizia eccellente,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
20,Cibo freddo,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
21,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
22,Camera sporca,Macchie sulle lenzuola e asciugamani non i cambiati.,Housekeeping,neg
23,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
24,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,pos
25,Accoglienza perfetta,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
26,Pulizia eccellente,"La camera era quasi sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
27,Ristorante eccellente,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
28,Deluso dalla pulizia,"i camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
29,Ottimo buffet,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
30,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente. Check-in veloce ma la stanza aveva qualche problema.",F&B,neg
31,Camera sporca,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
32,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
33,Staff gentilissimo,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
34,Pulizia eccellente,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
35,Accoglienza perfetta,Personale della reception molto disponibile e sorridente.,Reception,pos
36,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
37,Camera pulitissima,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
38,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
39,Pulizia insufficiente,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
40,Camera sporca,Ho trovato il polvere sui mobili e capelli nel bagno.,Housekeeping,neg
41,Colazione fantastica,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
42,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
43,Camera sporca,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
44,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
45,Accoglienza perfetta,Personale della reception molto disponibile e sorridente.,Reception,pos
46,Pulizia eccellente,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
47,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
48,Colazione fantastica,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
49,Cibo freddo,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
50,Check-in veloce,"Reception aperta 24 ore su 24, sempre pronti ad aiutare. Personale gentile alla reception, però il ristorante non mi ha convinto.",Reception,pos
51,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
52,Colazione fantastica,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
53,Camera sporca,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
54,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
55,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
56,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
57,Ristorante deludente,Cibo servito tiepido e poco saporito.,F&B,neg
58,Accoglienza perfetta,"Reception è aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
59,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
60,Reception cordiale,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
61,Ottimo servizio di pulizia,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
62,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale. Personale gentile alla reception, però il ristorante non mi ha convinto.",F&B,pos
63,Pulizia insufficiente,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
64,Reception poco disponibile,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
65,Camera sporca,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
66,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
67,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
68,Pulizia eccellente,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
69,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
70,Check-in veloce,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
71,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
72,Check-in veloce,Personale della reception molto disponibile e sorridente. Colazione buona ma il bagno non era perfetto.,Reception,pos
73,Esperienza negativa al desk,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
74,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
75,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,pos
76,Colazione scarsa,Cibo servito tiepido e poco saporito.,F&B,neg
77,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
78,Ristorante eccellente,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
79,Check-in veloce,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
80,Stanza trascurata,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
81,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
82,Pulizia insufficiente,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
83,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
84,Ottimo servizio di pulizia,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno. Colazione buona ma il bagno non era perfetto.",Housekeeping,pos
85,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
86,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
87,Camera pulitissima,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
88,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
89,Pulizia insufficiente,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
90,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
91,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
92,Deluso dalla pulizia,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
93,Pulizia insufficiente,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
94,Ristorante eccellente,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
95,Ristorante eccellente,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
96,Esperienza negativa al desk,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
97,Check-in lunghissimo,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
98,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
99,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
100,Reception cordiale,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
101,Reception cordiale,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
102,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato. Colazione buona ma il bagno non era perfetto.,F&B,pos
103,Pulizia insufficiente,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
104,Reception cordiale,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
105,Esperienza negativa al desk,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
106,Accoglienza perfetta,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
107,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
108,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
109,Pulizia eccellente,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
110,Ottimo servizio di pulizia,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
111,Esperienza negativa al desk,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste. Check-in veloce ma la stanza aveva qualche problema.",Reception,neg
112,Camera sporca,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
113,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare. Colazione buona ma il bagno non era perfetto.,Reception,neg
114,Reception cordiale,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
115,Reception cordiale,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
116,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
117,Cibo freddo,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
118,Deluso dalla pulizia,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
119,Cibo freddo,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
120,Reception cordiale,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
121,Problemi con il pagamento,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
122,Colazione fantastica,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
123,Reception cordiale,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
124,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
125,Stanza trascurata,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
126,Problemi con il pagamento,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
127,Problemi con il pagamento,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste. Check-in veloce ma la stanza aveva qualche problema.",Reception,neg
128,Staff gentilissimo,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
129,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
130,Check-in veloce,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
131,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
132,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente. Camera pulita ma colazione deludente, non so se tornerei.",F&B,neg
133,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
134,Stanza impeccabile,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
135,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
136,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza. Colazione buona ma il bagno non era perfetto.,F&B,neg
137,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
138,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
139,Ristorante eccellente,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
140,Ottimo servizio di pulizia,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
141,Pulizia eccellente,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
142,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
143,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
144,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
145,Ottimo buffet,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale. Check-in veloce ma la stanza aveva qualche problema.",F&B,pos
146,Esperienza negativa al desk,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
147,Problemi con il pagamento,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
148,Cibo delizioso,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
149,Ottimo servizio di pulizia,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
150,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
151,Cibo freddo,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
152,Check-in lunghissimo,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
153,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
154,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
155,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
156,Reception cordiale,Personale della reception molto disponibile e sorridente.,Reception,pos
157,Esperienza pessima al buffet,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
158,Esperienza negativa al desk,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
159,Ottimo buffet,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
160,Accoglienza perfetta,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
161,Reception cordiale,Personale della reception molto disponibile e sorridente.,Reception,pos
162,Camera sporca,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
163,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
164,Reception cordiale,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
165,Colazione fantastica,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
166,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
167,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
168,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
169,Pulizia eccellente,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
170,Check-in veloce,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
171,Reception poco disponibile,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
172,Camera sporca,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato. Colazione buona ma il bagno non era perfetto.",Housekeeping,neg
173,Pulizia eccellente,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,pos
174,Check-in lunghissimo,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
175,Cibo freddo,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
176,Ottimo servizio di pulizia,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
177,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
178,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
179,Stanza impeccabile,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
180,Reception poco disponibile,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste.",Reception,neg
181,Ristorante eccellente,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale. Colazione buona ma il bagno non era perfetto.",F&B,pos
182,Cibo delizioso,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
183,Esperienza pessima al buffet,Cibo servito tiepido e poco saporito.,F&B,neg
184,Reception poco disponibile,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
185,Esperienza negativa al desk,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
186,Reception cordiale,"Reception aperta 24 ore su 24, sempre pronti ad aiutare. Colazione buona ma il bagno non era perfetto.",Reception,pos
187,Cibo freddo,Cibo servito tiepido e poco saporito. Colazione buona ma il bagno non era perfetto.,F&B,neg
188,Accoglienza perfetta,"Reception aperta 24 ore su 24, sempre pronti ad aiutare.",Reception,pos
189,Check-in veloce,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
190,Ristorante deludente,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
191,Ottimo buffet,"Camerieri gentili e servizio veloce, cibo di ottima qualità. Personale gentile alla reception, però il ristorante non mi ha convinto.",F&B,pos
192,Colazione fantastica,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
193,Staff gentilissimo,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
194,Reception poco disponibile,Hanno sbagliato a registrare il pagamento e ho dovuto discutere per sistemare.,Reception,neg
195,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
196,Ottimo servizio di pulizia,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
197,Colazione scarsa,"Buffet quasi vuoto e piatti non riforniti, molto deludente. Camera pulita ma colazione deludente, non so se tornerei.",F&B,neg
198,Problemi con il pagamento,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
199,Staff gentilissimo,"Reception aperta 24 ore su 24, sempre pronti ad aiutare. Personale gentile alla reception, però il ristorante non mi ha convinto.",Reception,pos
200,Colazione fantastica,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
201,Check-in lunghissimo,"Personale poco cordiale, nessun sorriso e poca attenzione alle richieste. Camera pulita ma colazione deludente, non so se tornerei.",Reception,neg
202,Check-in lunghissimo,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
203,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
204,Ristorante deludente,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
205,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
206,Deluso dalla pulizia,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
207,Stanza trascurata,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
208,Pulizia eccellente,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno.",Housekeeping,pos
209,Colazione fantastica,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
210,Camera pulitissima,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
211,Pulizia insufficiente,Ho trovato polvere sui mobili e capelli nel bagno.,Housekeeping,neg
212,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione. Camera pulita ma colazione deludente, non so se tornerei.",Housekeeping,pos
213,Stanza impeccabile,"Servizio di pulizia rapido e accurato, letto rifatto alla perfezione.",Housekeeping,pos
214,Stanza impeccabile,"La camera era sempre pulita e profumata, asciugamani cambiati ogni giorno. Colazione buona ma il bagno non era perfetto.",Housekeeping,pos
215,Colazione fantastica,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
216,Reception cordiale,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
217,Deluso dalla pulizia,Ho trovato polvere sui mobili e capelli nel bagno. Colazione buona ma il bagno non era perfetto.,Housekeeping,neg
218,Check-in lunghissimo,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
219,Accoglienza perfetta,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
220,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
221,Esperienza pessima al buffet,"Buffet quasi vuoto e piatti non riforniti, molto deludente. Camera pulita ma colazione deludente, non so se tornerei.",F&B,neg
222,Cibo delizioso,"Camerieri gentili e servizio veloce, cibo di ottima qualità.",F&B,pos
223,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
224,Deluso dalla pulizia,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
225,Reception cordiale,"Personale della reception molto disponibile e sorridente. Camera pulita ma colazione deludente, non so se tornerei.",Reception,pos
226,Camera sporca,Macchie sulle lenzuola e asciugamani non cambiati.,Housekeeping,neg
227,Ottimo buffet,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
228,Colazione scarsa,Cibo servito tiepido e poco saporito.,F&B,neg
229,Staff gentilissimo,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
230,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani. Personale gentile alla reception, però il ristorante non mi ha convinto.",Housekeeping,pos
231,Cibo delizioso,Colazione abbondante con molta scelta di dolce e salato.,F&B,pos
232,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
233,Problemi con il pagamento,Ho dovuto aspettare più di mezz'ora per il check-in.,Reception,neg
234,Camera sporca,"La camera non è stata rifatta un giorno su due, davvero inaccettabile.",Housekeeping,neg
235,Ottimo servizio di pulizia,"Pulizia della stanza davvero ottima, non ho trovato un granello di polvere.",Housekeeping,pos
236,Check-in veloce,"Ottima gestione del check-out, conto chiaro e nessun intoppo.",Reception,pos
237,Colazione fantastica,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
238,Colazione fantastica,"Buffet serale molto vario, qualità del cibo sopra la media.",F&B,pos
239,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
240,Ottimo buffet,"Camerieri gentili e servizio veloce, cibo di ottima qualità. Colazione buona ma il bagno non era perfetto.",F&B,pos
241,Colazione scarsa,Il ristorante era caro e la qualità dei piatti non all'altezza.,F&B,neg
242,Colazione fantastica,"Ristorante dell'hotel davvero buono, piatti curati e servizio puntuale.",F&B,pos
243,Stanza impeccabile,"Bagno brillante e senza tracce di sporco, complimenti alle cameriere ai piani.",Housekeeping,pos
244,Deluso dalla pulizia,"La camera non è stata rifatta un giorno su due, davvero inaccettabile. Check-in veloce ma la stanza aveva qualche problema.",Housekeeping,neg
245,Colazione scarsa,"Buffet quasi vuoto e piatti non riforniti, molto deludente.",F&B,neg
246,Camera sporca,"Pulizia molto approssimativa, pavimento appiccicoso e cestino non svuotato.",Housekeeping,neg
247,Esperienza negativa al desk,"Informazioni confuse su tasse di soggiorno e orari, poca professionalità.",Reception,neg
248,Check-in veloce,"Check-in rapido e senza problemi, ci hanno dato anche ottimi consigli sulla città.",Reception,pos
249,Cibo freddo,"Poca scelta a colazione, molti prodotti confezionati.",F&B,neg
